beta,phi,theta,gamma,delta,gammaT,deltaT,eta,b,kappa,R0
0.49955798622453584,2.446368626300245,0.11095008496629696,0.6784138839289856,0.6935753133259713,1.4730603517661802,0.6257744606658816,1.4038510942952707,1.2336319248505867,0.002649737895318928,1.575760154847702
0.45324219395057297,1.9119746041046453,0.14555169915314764,0.6913173903057661,0.7008243633483846,1.5062609460717067,0.5509319584108889,1.4446032795229304,1.5443627709975465,0.0022725793377263476,1.019936506937636
0.5591799179988447,1.855423778453376,0.10721923552112034,0.67784681662467,0.7124822541549801,1.4663999615353531,0.6392867177166045,1.3476227003090704,1.1964187521628102,0.0024999894767844433,1.354453858998965
0.5000767544808331,1.616700016311137,0.19634622972427557,0.7217267540011865,0.7163035602178425,1.5611116117029453,0.5575384733378888,1.4008905199086292,1.3697883604743517,0.0024252840547279147,1.0406168761714716
0.43167491084896026,2.028419141686521,0.15902459304127842,0.6950486780482654,0.7203960436352839,1.5024979012412951,0.5249365065395832,1.4636949695466708,1.1087192513055169,0.0027134361570312956,1.3475870591566708
0.5675120142532978,2.1227738390718587,0.19392432287490619,0.6663849297161213,0.7152567786704749,1.4526816978002897,0.6110159746222198,1.4566040198321764,1.4273368225372396,0.0022857378081263357,1.3165865117523088
0.46607069124700495,1.639626729411073,0.2562947882137572,0.6726355044518907,0.7273583798445761,1.5630550874327311,0.5654656074177474,1.369409202504903,1.658619559555873,0.002527281913068146,0.9501490839193393
0.37191640813718546,2.289906333291204,0.32550917359037945,0.7115199906040603,0.7069800767103831,1.4842584278574213,0.5380680569633842,1.425317141739341,1.4068677074722944,0.0023735103762475775,1.2878779093801853
0.43056231423630376,1.9731292817909267,0.3297307741669938,0.7306862310064025,0.690499150486042,1.5583268859097736,0.5749901823848487,1.372660012907038,1.5318409593332558,0.0026600656214946262,1.1353124741464402
0.4843539843219332,1.4905238787167472,0.17864347816382847,0.6911974409616862,0.7178355989425133,1.535566375956405,0.6162207971457392,1.3908538989725832,1.7046174596132708,0.002725191637539926,0.8789364605005221
0.5207938383973669,2.3689905508935913,0.278816933322077,0.6692671200853462,0.7024252244097491,1.4812212712620385,0.6062495674230158,1.3585689299236983,1.1647708940732293,0.0024502837996464226,1.6808096273683648
0.45946175196208056,1.5351877245054346,0.4379110893321534,0.6973028517256801,0.7242642863324533,1.541747617032379,0.559529362699017,1.3630268176390479,1.1539802056560293,0.002603486766510954,1.2296703461445673
0.5063833748211618,1.7764602173288584,0.22120252428855747,0.7272373565772238,0.7235970801549653,1.5067243970208801,0.5237354268524796,1.4672162838000804,1.193199323003087,0.00262057036725649,1.2075983518463502
0.4073147487628739,1.48429874342971,0.4569525086094315,0.7040268028847252,0.6900399478102723,1.448754264244344,0.5822326578609646,1.3853767385973283,1.2814367649503051,0.002673937013318452,1.120716983230386
0.3682150507031474,1.8436069680764338,0.4013766017789021,0.6804613493311529,0.7190664951335638,1.5627157032908874,0.6399930195380003,1.3703660344329351,1.465438684511371,0.0022539068577811126,1.189447266744431
0.5035334515129215,2.048644546305062,0.2846012783537929,0.7199016699300458,0.7276009512034555,1.5555274814809674,0.6198515483420343,1.3800937376829485,1.1138656867945567,0.0023214396989826736,1.568238831648813
0.3863797170529142,2.425932602586224,0.4037873746644085,0.6851458247886039,0.6925933752066145,1.563821394511033,0.5949031435679645,1.423550759830512,1.2936258065761999,0.002656889292954778,1.5328683151666347
0.507071362795541,1.9632297533190575,0.32394780668926737,0.7188213305164439,0.7030442194168766,1.5227156422613188,0.5281536777149886,1.449396115791363,1.1703403008640743,0.0026948935076516745,1.359619638422494
0.35435083964024666,1.8138638613111104,0.4727587321558967,0.7280069843494954,0.7126826566718518,1.4544272558600642,0.6191137801464648,1.3885790231827024,1.4913942467152141,0.002314788685032788,1.1728824976257939
0.5379423674673307,2.069346662416588,0.13545308416647217,0.6774109591962769,0.7251852993785093,1.4966031051450408,0.6349670604076236,1.383275802959067,1.4677151144399307,0.0026437200770713393,1.259189311111864
0.35587802234920674,1.6423869525431654,0.31791014135349543,0.6916111624178787,0.7250300027759125,1.5541305206413383,0.5401302699614317,1.4036861049219345,1.2837714562992564,0.002616605488552402,1.076180739577955
0.44558488579001276,2.114667171868961,0.39323367188715685,0.6749114415226504,0.7138304638117552,1.4593792346515693,0.56200793813169,1.332345397307227,1.672007257117331,0.002608468423240508,1.1764336195463128
0.5237918407621327,2.2742303766176333,0.2569885830398028,0.7098561164098791,0.7250248554125428,1.461633649568539,0.5615706839095801,1.3551059179728229,1.407899224712234,0.0025927209096262235,1.3672589427447344
0.5131958628236316,2.2653438119407507,0.3402143523221215,0.6907940753827182,0.7126646362300962,1.4605889096297322,0.5521928965728731,1.4409346961847815,1.072924516338296,0.0027373656544756766,1.6742173533385722
0.4142040568415541,1.5739287141048115,0.14343600020433467,0.7088139747882571,0.7251480627420048,1.5023042105371132,0.6070163195151836,1.4689979339828714,1.1981825943835078,0.002618778547854163,1.1027217187758356
0.4746937911526765,2.139298772583948,0.20647149374025564,0.7073000639349533,0.6943735186296204,1.4523878208687528,0.5818296363931149,1.4386860526331389,1.7344891783861442,0.0023690457722249755,1.0801192206591186
0.5182331505429465,1.7262863065390845,0.24589851731155069,0.7272435972510527,0.7245909745196502,1.56881826935336,0.6047096134144813,1.3315466569277146,1.1734729105029253,0.002523291421697165,1.3052396282829166
0.47985172307933677,1.6325975940246134,0.32814613870810716,0.6873874147844811,0.7242633697905888,1.5005729619506747,0.530655453728512,1.4290933096023897,1.0620160794884896,0.002467287166975439,1.2870787344695773
