beta1,phi1,theta1,b1,eta1,Final_size
0.5228510263794146,1.2894401667956776,0.23809926828525957,1.4032883758810526,1.8952286500750428,0.03970821398108981
0.4375799659026342,1.8213583294567228,0.06058204351320762,1.627806522931239,2.48291535390133,0.03334057183321093
0.3032415345857107,1.4432752769840418,0.25238354480696557,1.680888980206948,3.1872694822971983,0.019487290775984434
0.32876672121425676,1.2471823315658226,0.0917605704257947,2.823375677591105,2.88652108243494,0.011982881335537598
0.3561469277501458,1.3162016558512522,0.07852965234089208,2.3770201937708624,3.1844423868885503,0.012672400477118373
0.3510349077602632,1.596651563071277,0.2014033664758762,2.5568055636629436,1.6577795611970616,0.015240986333260764
0.32658575912327686,1.4674321681218876,0.0944010534265877,2.3627831779200426,3.3017088731833066,0.013220653399962146
0.2810649472335673,1.6109066318461198,0.13576035214389098,2.015756821309343,3.269860130502549,0.01560960511496745
0.4406801127735968,0.7963290325446267,0.14409377032898105,2.8300555689989784,2.270140278470173,0.011673963342666127
0.2827315097805353,1.040057529569581,0.22423002588908514,1.9478368217123792,3.322660940086064,0.013212171126500749
0.2830572033638183,1.6011122955392958,0.14583007438551832,1.9788978701619664,3.09857610702259,0.016009696978880328
0.3477681043316863,1.919069889198193,0.2523767653971912,2.0629496636129785,1.690211660261951,0.02939013385411826
0.5263902873454686,1.5900692426111045,0.10400087348147488,1.4383594040999452,2.604650897053161,0.044442915538130734
0.27583221084061765,1.6913722755496563,0.19676851444297566,1.9070289638247713,3.2138531486038313,0.018613549760988946
0.4955561208887388,1.4124520664400535,0.2711816468478683,1.5802064695608191,1.9064916321049994,0.036005237672320334
0.3376885815932293,1.9922508389381988,0.09505376992069794,2.128264327488434,2.9398210512089498,0.01861064012437552
0.308637578724917,1.6262139462591692,0.20761986258077475,1.4083848925296902,3.105021515053288,0.04831789866901559
0.48991750138542794,1.7273853057328739,0.1556344801761475,2.0173413218314766,1.585005834316143,0.025669516072667875
0.530729556302334,1.6666152352568528,0.19548787304377818,1.7778414016581057,1.5100949484709052,0.05545262699676101
0.41431086140543816,0.8715964956574125,0.0925033332410655,2.6973029948581138,2.9751026485001177,0.011479072839271964
0.5002069819566797,0.9123139461143366,0.2622277989253668,2.1718676631777734,1.5799295167378062,0.014238343244578289
0.4420524946468116,1.847148700920422,0.16242319265024743,1.7070987990159072,1.7040936235910777,0.08247724129241973
0.3066528910336615,1.036068184521052,0.16154133906578946,2.8109270950450123,2.9586271324529876,0.011802021221381409
0.5237637051287445,0.7512552048916847,0.19120124932581783,1.677671361764673,2.915980234626379,0.013074639327125936
0.3212787303307444,1.594390435516329,0.1641930455325349,2.5344166484628534,1.7449253258812605,0.014594324922725832
0.3799394146470165,0.8241871081205868,0.1340425409442115,2.283015353070849,3.33260001440103,0.011723264632887975
0.5222854245360236,1.6205304934007658,0.10030680570602607,2.1661608637793757,1.8832638067642682,0.01793590100366771
0.30716333305816945,2.0765169251872067,0.1356939326969461,2.102888017844432,2.902528928078082,0.021219724863552614
0.45837651838568505,1.4667980972296477,0.09933939319038064,1.9040954865987332,3.189154607773832,0.015741386564453563
0.2882248123923668,1.9797352236126748,0.24323961642219621,2.099196905678548,2.0533982491844815,0.024872382719813402
0.3865415315988875,0.7487768853682748,0.24509232269846626,1.6582251234577756,3.319861778057569,0.012931244844665457
0.43182458174342697,1.4612524706691592,0.057100689672110225,1.8756413959039202,3.22723583625683,0.015163938273946798
0.4389623889446179,1.959846544795161,0.06913189781121784,1.724631269105791,2.251706444334864,0.0417522110540709
0.3809747717946974,0.935599758141382,0.07359425956222407,2.4131099514240515,3.2548689729890037,0.011635448156578576
0.345185242313331,1.455270018380439,0.10372873720975292,2.434817679833335,3.2195204827044988,0.013153102891358515
0.2993167025310953,1.2430418960264773,0.1380680797086283,2.507902568400192,3.314023100031713,0.01242151392169788
0.44409740945953213,0.6325702136681157,0.15981882050591223,1.988990414694086,3.321220307593165,0.01170480738230495
0.26737797703602373,1.361795715895123,0.30200692269201457,1.622144875088597,2.8680554656150408,0.020000483182592177
0.44104780555487944,0.9218317438847702,0.29906124261761774,1.5400313319561392,2.442925150179251,0.015946079305464878
0.2527715222091844,1.6659941862434453,0.12007721435867685,2.0474122501281737,3.1688236331429733,0.015520677507083747
0.2976235452455687,1.0654939295060712,0.22845212907022344,2.6320458266048252,2.249671764098631,0.01245480240900676
0.26768517372331097,1.8553981914271096,0.2175964136400873,1.7397316763514286,2.4428817704641315,0.03221960275391922
0.4018638882313157,0.632597365733605,0.23240607489887416,2.7430956122427075,1.96159903607454,0.011733049196728018
0.3781180164489638,0.5869182407778932,0.15782409688305524,2.752587953385948,2.7995629107955278,0.011158002565956338
0.5028274354765377,1.3110691790982405,0.13686990882369443,1.375363548485723,2.6544925645633213,0.024612721420833594
0.34001664409666754,1.4317673506722124,0.2319137353838645,1.3238241701119902,3.0626638573171787,0.03806551036375083
0.40386287186000697,0.6464326650982772,0.30398222245341483,2.2659713038561113,2.1479408795951818,0.012343704862445293
0.38752757639231306,0.5929310158818994,0.24077736456341475,2.809157021107945,2.014758947515143,0.011603679623487295
0.2597815703576714,1.4779761574754149,0.22739318553226429,2.69037762508676,1.9476484916945256,0.013651104515766121
0.29194430970712104,1.3247181803500232,0.25837107165026413,1.896874291315027,3.3582222793258047,0.015593298714566828
0.3825437735365837,1.0770050708539238,0.06924461142596046,2.6072478450568073,2.7137595440865607,0.01186643563180212
0.30061073049221887,1.0452189651221029,0.2730395086452885,2.4636230235845016,2.417182265275716,0.012821294172731257
0.4127895920755825,1.608860350961893,0.3177664694534631,1.7903634359944385,1.7096633789649334,0.03745729531062736
0.43371282148085594,1.9009243223043673,0.07591949388880098,1.7755123337942416,2.4541887672437896,0.02893353726739889
0.5074372213748317,1.478810355304831,0.08832899628496141,2.231921609671665,2.1251882326137945,0.015270703412866737
0.5217390223702063,1.0570727361865442,0.18625480084470303,1.3830711969461036,2.799457371948697,0.018073738109876558
0.49054280406689693,0.8323625908700321,0.18744819061978263,2.2658032278543185,2.1403931676573764,0.012640568505677408
0.27081042405572703,1.6936828898302718,0.1558720730325812,2.0885027638405216,3.0412000308244433,0.016134432791506725
0.48783780965571644,1.4201308713102554,0.24364771361745557,1.4334599803800772,1.979766552917397,0.055930482351278954
0.46543693464038555,0.6322065775901032,0.10471640569749664,2.1246666750156655,3.297449677183409,0.011422000222609086
0.45630168333339416,0.8532560006693508,0.11300284760875662,2.0707312055627494,3.015710174367679,0.012142224605170782
0.5247897799484713,1.4701960735337156,0.24602248995432074,1.7696843194680012,1.7051825468596775,0.029913486743016193
0.4118804183416295,0.7004045811845993,0.2546389223288892,1.6443666010335587,3.064123690167457,0.012909767634003089
0.42820699369883125,1.9327788118027165,0.09406945916921819,1.9732181358077523,2.1025888022637247,0.024613760308586308
0.3097806992507678,0.6378959052504841,0.2837312148865949,2.4482379650313506,2.5178477405939823,0.011764451359262296
